"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_0402_1005Metric";2;"100nF";;;
2;"D1";"LED_0603_1608Metric";1;"KT-0603R";;;
3;"J2";"PinSocket_1x08_P2.54mm_Vertical";1;"Conn_01x08_Socket";;;
4;"R1";"R_0201_0603Metric";1;"47Ω";;;
5;"R2, R3";"R_0603_1608Metric";2;"4.7k";;;
6;"S1, S2";"SW_TS-1088-AR02016";2;"Tactile Button, 160gf";;;
7;"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13";"SW_SPST_Omron_B3F-40xx";13;"SW_Push";;;
8;"U1";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DS3";;;
9;"U2";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
